Neighborhood Reporting Area,Total Population,Total Households,Population in Households,Household Size,Population in Group Quarters,Family Households,Non-Family Households,Families with Children,Percent of All Households: Families with Children,0--4,5--9,10--14,15--17,18--19,20--24,25--34,35--44,45--54,55--59,60--64,65--74,75--84,85 Plus,Population,Total units,Occupied units,Vacant units,Percent owner occupied,Person per acre,Acres,Zip Code
GEORGIA ACRES,"8,559","3,128","8,557",2.7,2,"1,783","1,345","1,111",35.50%,11.80%,8.30%,6.00%,3.20%,2.90%,11.10%,20.90%,14.60%,11.00%,3.80%,2.60%,2.40%,1.20%,0.30%,"8,559","3,763","3,128",635,14.80%,12.7,676.2,78753
GOVALLE,"4,006","1,385","3,913",2.8,93,837,548,334,24.10%,6.60%,5.70%,5.50%,4.10%,2.50%,6.80%,17.00%,13.60%,12.60%,5.20%,5.30%,8.20%,5.10%,1.70%,"4,006","1,523","1,385",138,57.80%,4,"1,004.80",78702
GRACY WOODS,"28,220","12,659","28,021",2.2,199,"6,564","6,095","2,977",23.50%,7.30%,5.40%,4.30%,2.60%,2.10%,8.90%,24.60%,14.80%,13.20%,5.90%,3.90%,3.90%,2.00%,1.10%,"28,220","13,330","12,659",671,44.20%,6.4,"4,412.60",78758
HANCOCK,"4,662","2,466","4,628",1.9,34,552,"1,914",194,7.90%,2.40%,2.20%,1.40%,1.00%,2.70%,38.30%,25.90%,8.40%,7.10%,3.60%,2.70%,2.90%,1.10%,0.50%,"4,662","2,710","2,466",244,23.90%,8.6,540.2,78751
HARRIS BRANCH,"3,432","1,136","3,432",3,0,889,247,477,42.00%,9.90%,8.10%,6.90%,3.80%,1.70%,5.00%,19.30%,16.80%,14.80%,5.20%,3.60%,3.10%,1.60%,0.30%,"3,432","1,192","1,136",56,89.10%,1.5,"2,294.60",78754
HAYS WARTHA,2,1,2,2,0,1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,2,1,1,100.00%,0,"1,796.30",78756
HERITAGE HILLS,"5,853","1,938","5,850",3,3,"1,280",658,821,42.40%,12.60%,10.80%,6.40%,3.20%,2.10%,10.70%,21.20%,12.40%,8.70%,3.70%,2.90%,3.40%,1.20%,0.50%,"5,853","2,186","1,938",248,34.80%,6.8,864.8,78753
HIGHLAND,"4,225","1,910","4,225",2.2,0,873,"1,037",347,18.20%,6.30%,4.40%,3.90%,2.10%,2.00%,8.60%,22.90%,18.60%,13.10%,6.20%,3.70%,4.20%,3.20%,0.80%,"4,225","2,091","1,910",181,47.70%,5.1,832.4,78752
HIGHLAND PARK,"3,907","1,647","3,889",2.4,18,"1,123",524,477,29.00%,5.40%,6.80%,7.10%,3.50%,1.30%,2.70%,7.90%,14.70%,16.70%,10.00%,7.60%,8.50%,4.90%,2.90%,"3,907","1,741","1,647",94,89.60%,2,"1,935.40",78731
HOLLY,"3,987","1,506","3,965",2.6,22,841,665,381,25.30%,7.80%,6.80%,6.30%,3.70%,2.40%,8.00%,20.60%,15.70%,10.40%,4.70%,3.80%,4.70%,3.40%,1.70%,"3,987","1,645","1,506",139,50.10%,8.7,459.7,78702
